4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14.25,14.5,14.75,15
0,0.15,0.3,0.44999999999999996,0.6,0.75,0.9,1.05,1.2,1.3499999999999999,1.4999999999999998,1.6499999999999997,1.7999999999999996,1.9499999999999995,2.0999999999999996,2.2499999999999996,2.3999999999999995,2.5499999999999994,2.6999999999999993,2.849999999999999,2.999999999999999
sort_size, sort_shift, DC_size, sort_shiftride_number
12,0,6,0.44999999999999996,1597
12,0,6,0.6,1827
12,0,6,0.75,1843
12,0,6,0.9,1754
12,0,6,1.05,1703
12,0,6,1.2,2057
12,0,6,1.3499999999999999,2219
12,0,6,1.4999999999999998,2417
12,0,6,1.6499999999999997,1790
12,0,6,1.7999999999999996,1754
12,0,6,1.9499999999999995,1706
12,0,6,2.0999999999999996,1635
12,0,6,2.2499999999999996,1666
12,0,6,2.3999999999999995,1561
12,0,6,2.5499999999999994,1604
12,0,6,2.6999999999999993,1700
12,0,6,2.849999999999999,1964
12,0,6,2.999999999999999,1992
12.5,0,6.25,0,875
12.5,0,6.25,0.15,1116
12.5,0,6.25,0.3,1519
12.5,0,6.25,0.44999999999999996,1675
12.5,0,6.25,0.6,1802
12.5,0,6.25,0.75,1915
12.5,0,6.25,0.9,2091
12.5,0,6.25,1.05,1762
12.5,0,6.25,1.2,2212
12.5,0,6.25,1.3499999999999999,2374
12.5,0,6.25,1.4999999999999998,2343
12.5,0,6.25,1.6499999999999997,1841
12.5,0,6.25,1.7999999999999996,1704
12.5,0,6.25,1.9499999999999995,1791
12.5,0,6.25,2.0999999999999996,1744
12.5,0,6.25,2.2499999999999996,1790
12.5,0,6.25,2.3999999999999995,1754
12.5,0,6.25,2.5499999999999994,1727
12.5,0,6.25,2.6999999999999993,1631
12.5,0,6.25,2.849999999999999,1752
12.5,0,6.25,2.999999999999999,2015
13,0,6.5,0,1103
13,0,6.5,0.15,1155
13,0,6.5,0.3,1611
13,0,6.5,0.44999999999999996,1703
13,0,6.5,0.6,1833
13,0,6.5,0.75,1913
13,0,6.5,0.9,1826
13,0,6.5,1.05,1875
13,0,6.5,1.2,2248
13,0,6.5,1.3499999999999999,2416
13,0,6.5,1.4999999999999998,2122
13,0,6.5,1.6499999999999997,2435
13,0,6.5,1.7999999999999996,1899
13,0,6.5,1.9499999999999995,1766
13,0,6.5,2.0999999999999996,1769
13,0,6.5,2.2499999999999996,1693
13,0,6.5,2.3999999999999995,1869
13,0,6.5,2.5499999999999994,1810
13,0,6.5,2.6999999999999993,1713
13,0,6.5,2.849999999999999,1730
13,0,6.5,2.999999999999999,1756
13.5,0,6.75,0,1014
13.5,0,6.75,0.15,1087
13.5,0,6.75,0.3,1639
13.5,0,6.75,0.44999999999999996,1719
13.5,0,6.75,0.6,1785
13.5,0,6.75,0.75,2057
13.5,0,6.75,0.9,1985
13.5,0,6.75,1.05,1914
13.5,0,6.75,1.2,2244
13.5,0,6.75,1.3499999999999999,2125
13.5,0,6.75,1.4999999999999998,2338
13.5,0,6.75,1.6499999999999997,2369
13.5,0,6.75,1.7999999999999996,2038
13.5,0,6.75,1.9499999999999995,1854
13.5,0,6.75,2.0999999999999996,1937
13.5,0,6.75,2.2499999999999996,1791
13.5,0,6.75,2.3999999999999995,1790
13.5,0,6.75,2.5499999999999994,1708
13.5,0,6.75,2.6999999999999993,1899
13.5,0,6.75,2.849999999999999,1683
13.5,0,6.75,2.999999999999999,1772
14,0,7,0,1018
14,0,7,0.15,1152
14,0,7,0.3,1596
14,0,7,0.44999999999999996,1734
14,0,7,0.6,1849
14,0,7,0.75,2002
14,0,7,0.9,2042
14,0,7,1.05,1906
14,0,7,1.2,1924
14,0,7,1.3499999999999999,2197
14,0,7,1.4999999999999998,2334
14,0,7,1.6499999999999997,2348
14,0,7,1.7999999999999996,2538
14,0,7,1.9499999999999995,2008
